"code","iso","country","BHV.ind.1995","BHV.ind.1996","BHV.ind.1997","BHV.ind.1998","BHV.ind.1999","BHV.ind.2000","BHV.ind.2001","BHV.ind.2002","BHV.ind.2003","BHV.ind.2004","BHV.ind.2005","BHV.ind.2006","BHV.ind.2007","BHV.ind.2008","BHV.ind.2009","BHV.ind.2010","BHV.ind.2011","BHV.ind.2012","BHV.ind.2013","BHV.ind.2014","BHV.ind.2015","BHV.ind.2016","BHV.ind.2017","BHV.ind.2018","BHV.ind.2019","BHV.ind.2020"
250,"FRA","France",44.4907,44.4907,44.4907,44.4907,44.4907,44.4907,44.4907,44.4907,44.4907,44.4907,44.4907,44.53164,44.57258,44.61352,44.65446,44.6954,44.52494,44.35448,44.18402,44.01356,43.8431,43.8431,43.8431,43.8431,43.8431,43.8431
258,"PYF","French Polynesia",70.9611,70.9611,70.9611,70.9611,70.9611,70.9611,70.9611,70.9611,70.9611,70.9611,70.9611,71.0379,71.1147,71.1915,71.2683,71.3451,71.3451,71.3451,71.3451,71.3451,71.3451,71.3451,71.3451,71.3451,71.3451,71.3451
266,"GAB","Gabon",71.9269,71.9269,71.9269,71.9269,71.9269,71.9269,71.9269,71.9269,71.9269,71.9269,71.9269,71.83768,71.74846,71.65924,71.57002,71.4808,71.4808,71.4808,71.4808,71.4808,71.4808,71.4808,71.4808,71.4808,71.4808,71.4808
270,"GMB","Gambia",47.3996,47.3996,47.3996,47.3996,47.3996,47.3996,47.3996,47.3996,47.3996,47.3996,47.3996,47.41896,47.43832,47.45768,47.47704,47.4964,47.4964,47.4964,47.4964,47.4964,47.4964,47.4964,47.4964,47.4964,47.4964,47.4964
268,"GEO","Georgia",47.7246,47.7246,47.7246,47.7246,47.7246,47.7246,47.7246,47.7246,47.7246,47.7246,47.7246,47.71738,47.71016,47.70294,47.69572,47.6885,47.63284,47.57718,47.52152,47.46586,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102
276,"DEU","Germany",46.2047,46.2047,46.2047,46.2047,46.2047,46.2047,46.2047,46.2047,46.2047,46.2047,46.2047,46.21248,46.22026,46.22804,46.23582,46.2436,46.12456,46.00552,45.88648,45.76744,45.6484,45.6484,45.6484,45.6484,45.6484,45.6484
288,"GHA","Ghana",48.7014,48.7014,48.7014,48.7014,48.7014,48.7014,48.7014,48.7014,48.7014,48.7014,48.7014,48.64294,48.58448,48.52602,48.46756,48.4091,48.4091,48.4091,48.4091,48.4091,48.4091,48.4091,48.4091,48.4091,48.4091,48.4091
300,"GRC","Greece",37.128,37.128,37.128,37.128,37.128,37.128,37.128,37.128,37.128,37.128,37.128,37.17916,37.23032,37.28148,37.33264,37.3838,37.34728,37.31076,37.27424,37.23772,37.2012,37.2012,37.2012,37.2012,37.2012,37.2012
304,"GRL","Greenland",95.2439,95.2439,95.2439,95.2439,95.2439,95.2439,95.2439,95.2439,95.2439,95.2439,95.2439,95.24224,95.24058,95.23892,95.23726,95.2356,95.2483,95.261,95.2737,95.2864,95.2991,95.2991,95.2991,95.2991,95.2991,95.2991
308,"GRD","Grenada",43.9446,43.9446,43.9446,43.9446,43.9446,43.9446,43.9446,43.9446,43.9446,43.9446,43.9446,43.79766,43.65072,43.50378,43.35684,43.2099,43.15338,43.09686,43.04034,42.98382,42.9273,42.9273,42.9273,42.9273,42.9273,42.9273
320,"GTM","Guatemala",50.6709,50.6709,50.6709,50.6709,50.6709,50.6709,50.6709,50.6709,50.6709,50.6709,50.6709,50.53492,50.39894,50.26296,50.12698,49.991,49.8648,49.7386,49.6124,49.4862,49.36,49.36,49.36,49.36,49.36,49.36
831,"GGY","Guernsey",37.9002,37.9002,37.9002,37.9002,37.9002,37.9002,37.9002,37.9002,37.9002,37.9002,37.9002,38.01626,38.13232,38.24838,38.36444,38.4805,38.2382,37.9959,37.7536,37.5113,37.269,37.269,37.269,37.269,37.269,37.269
324,"GIN","Guinea",51.1958,51.1958,51.1958,51.1958,51.1958,51.1958,51.1958,51.1958,51.1958,51.1958,51.1958,51.0515,50.9072,50.7629,50.6186,50.4743,50.47432,50.47434,50.47436,50.47438,50.4744,50.4744,50.4744,50.4744,50.4744,50.4744
624,"GNB","Guinea-Bissau",50.8313,50.8313,50.8313,50.8313,50.8313,50.8313,50.8313,50.8313,50.8313,50.8313,50.8313,50.92496,51.01862,51.11228,51.20594,51.2996,51.2996,51.2996,51.2996,51.2996,51.2996,51.2996,51.2996,51.2996,51.2996,51.2996
328,"GUY","Guyana",71.7515,71.7515,71.7515,71.7515,71.7515,71.7515,71.7515,71.7515,71.7515,71.7515,71.7515,71.58928,71.42706,71.26484,71.10262,70.9404,70.58568,70.23096,69.87624,69.52152,69.1668,69.1668,69.1668,69.1668,69.1668,69.1668
332,"HTI","Haiti",41.5531,41.5531,41.5531,41.5531,41.5531,41.5531,41.5531,41.5531,41.5531,41.5531,41.5531,41.59808,41.64306,41.68804,41.73302,41.778,41.61784,41.45768,41.29752,41.13736,40.9772,40.9772,40.9772,40.9772,40.9772,40.9772
336,"VAT","Holy See",31.4612,31.4612,31.4612,31.4612,31.4612,31.4612,31.4612,31.4612,31.4612,31.4612,31.4612,31.56782,31.67444,31.78106,31.88768,31.9943,31.9283,31.8623,31.7963,31.7303,31.6643,31.6643,31.6643,31.6643,31.6643,31.6643
340,"HND","Honduras",50.1739,50.1739,50.1739,50.1739,50.1739,50.1739,50.1739,50.1739,50.1739,50.1739,50.1739,50.12766,50.08142,50.03518,49.98894,49.9427,49.8171,49.6915,49.5659,49.4403,49.3147,49.3147,49.3147,49.3147,49.3147,49.3147
344,"HKG","Hong Kong",41.5418,41.5418,41.5418,41.5418,41.5418,41.5418,41.5418,41.5418,41.5418,41.5418,41.5418,41.84734,42.15288,42.45842,42.76396,43.0695,43.21586,43.36222,43.50858,43.65494,43.8013,43.8013,43.8013,43.8013,43.8013,43.8013
