,country,year,DMT
559,Holy See,1999,
560,Honduras,1999,-21.8906060585964
561,Hong Kong,1999,
562,Hungary,1999,-23.7223784911066
563,Iceland,1999,-23.7262031877453
564,India,1999,-22.3081202266448
565,Indonesia,1999,-22.4349995977977
566,Iran,1999,-23.0242840181269
567,Iraq,1999,-21.8538905310428
568,Ireland,1999,-23.031224423838
569,Isle of Man,1999,
570,Israel,1999,-23.5710990151633
571,Italy,1999,-24.4522995804777
572,Jamaica,1999,-23.8187677356305
573,Japan,1999,-25.8602395276883
574,Jordan,1999,-22.9183432839582
575,Kazakhstan,1999,-22.0627864717404
576,Kenya,1999,-21.9903142516259
577,Kiribati,1999,-23.2309721742146
578,Kosovo,1999,
579,Kuwait,1999,-21.1930003610363
580,Kyrgyzstan,1999,-21.8796520942742
581,Laos,1999,-21.3164322608159
582,Latvia,1999,-23.1587838139285
583,Lebanon,1999,-23.8448145705769
584,Lesotho,1999,-21.6702938181183
585,Liberia,1999,-21.8915011796474
586,Libya,1999,-21.3838255501546
587,Liechtenstein,1999,
588,Lithuania,1999,-23.0555230759948
589,Luxembourg,1999,-24.8622949516636
590,Macao,1999,
591,Macedonia,1999,-22.9046673876425
592,Madagascar,1999,-21.0472846876539
593,Malawi,1999,-21.5605174663335
594,Malaysia,1999,-22.6073537823522
595,Maldives,1999,
596,Mali,1999,-20.9930603459277
597,Malta,1999,-24.3848627420232
598,Marshall Islands,1999,-22.4343874164055
599,Martinique,1999,
600,Mauritania,1999,-21.2976585788884
601,Mauritius,1999,-23.1148674036834
602,Mayotte,1999,
603,Mexico,1999,-22.9962703435646
604,Micronesia,1999,-22.8584259839635
605,Moldova,1999,-21.5821648780611
606,Monaco,1999,
607,Mongolia,1999,-20.8321908030816
608,Montenegro,1999,-23.2100310162616
609,Montserrat,1999,
610,Morocco,1999,-23.3166261980877
611,Mozambique,1999,-20.6744734075978
612,Myanmar,1999,-20.6409486346555
613,Namibia,1999,-21.7077894589471
614,Nauru,1999,
615,Nepal,1999,-21.333035544081
616,Netherlands,1999,-24.1019256371691
617,Netherlands Antilles,1999,
618,New Caledonia,1999,
619,New Zealand,1999,-22.1291452065318
620,Nicaragua,1999,-21.8351612326359
621,Niger,1999,-20.6613523451325
622,Nigeria,1999,-21.62344803309
623,Niue,1999,
624,Norfolk Island,1999,
625,North Korea,1999,
626,Northern Mariana Islands,1999,
627,Norway,1999,-24.6822000809259
628,Oman,1999,-21.6063318686081
629,Pakistan,1999,-22.5070134451045
630,Palau,1999,-23.7335496941286
631,Panama,1999,-22.8634316937886
632,Papua New Guinea,1999,-20.9856363052818
633,Paraguay,1999,-21.2236891200632
634,Peru,1999,-22.7902161374304
635,Philippines,1999,-22.6146373436759
636,Pitcairn,1999,
637,Poland,1999,-23.3093357327302
638,Portugal,1999,-23.8539687330548
639,Puerto Rico,1999,
640,Qatar,1999,
641,Republic of Congo,1999,-22.7387352102415
642,Reunion,1999,
643,Romania,1999,-22.810339649706
644,Russia,1999,-22.1110527826474
645,Rwanda,1999,-21.4575422238976
646,Saint Helena,1999,
647,Saint Kitts and Nevis,1999,-23.3203054239557
648,Saint Lucia,1999,-21.5490507335302
649,Saint Pierre and Miquelon,1999,
650,Saint Vincent and the Grenadines,1999,-23.2990760861837
651,Samoa,1999,-22.0076440275884
652,San Marino,1999,
653,Sao Tome and Principe,1999,
654,Saudi Arabia,1999,-24.0301022203425
655,Senegal,1999,-21.452721656066
656,Serbia,1999,-22.401136626142
657,Seychelles,1999,-24.0196852860093
658,Sierra Leone,1999,-21.1178883157549
659,Singapore,1999,-25.6233905803085
660,Sint Maarten,1999,
661,Slovakia,1999,-23.6282484127929
662,Slovenia,1999,-23.7997116160987
663,Solomon Islands,1999,-21.9782748470006
664,Somalia,1999,-18.2832341126172
665,South Africa,1999,-22.988508159457
666,South Korea,1999,-24.3778314556118
667,South Sudan,1999,
668,Spain,1999,-24.2339560995593
669,Sri Lanka,1999,-22.4990449037122
670,State of Palestine,1999,
671,Sudan,1999,-20.3572498936489
672,Suriname,1999,-22.3355118406111
673,Svalbard and Jan Mayen Islands,1999,
674,Swaziland,1999,-22.3756390175329
675,Sweden,1999,-24.5656498208883
676,Switzerland,1999,-25.0681035118584
677,Syria,1999,-21.3215131133468
678,Taiwan,1999,-23.9409789342503
679,Tajikistan,1999,-21.7512187903132
680,Tanzania,1999,-20.8946237143379
681,Thailand,1999,-22.9440551218024
682,Timor-Leste,1999,
683,Togo,1999,-21.815265944884
684,Tokelau,1999,
685,Tonga,1999,-22.1407561669534
686,Trinidad and Tobago,1999,-24.2423483382509
687,Tunisia,1999,-23.5792609059405
688,Turkey,1999,-23.4657500166173
689,Turkmenistan,1999,-20.6540853358421
690,Turks and Caicos Islands,1999,
691,Tuvalu,1999,-21.8046894164482
