,country,year,DPT
768,Equatorial Guinea,2008,
769,Eritrea,2008,810.0244
770,Estonia,2008,763.755
771,Ethiopia,2008,119.7249
772,Faeroe Islands,2008,
773,Falkland Islands,2008,
774,Fiji,2008,
775,Finland,2008,196.829
776,France,2008,83.285
777,French Guiana,2008,
778,French Polynesia,2008,
779,Gabon,2008,355.9468
780,Gambia,2008,
781,Georgia,2008,88.03
782,Germany,2008,454.032
783,Ghana,2008,217.4111
784,Gibraltar,2008,764.3494
785,Greece,2008,756.165
786,Greenland,2008,
787,Grenada,2008,
788,Guadeloupe,2008,
789,Guam,2008,
790,Guatemala,2008,348.2037
791,Guinea,2008,
792,Guinea-Bissau,2008,
793,Guyana,2008,
794,Haiti,2008,498.5226
795,Holy See,2008,
796,Honduras,2008,412.6745
797,Hong Kong,2008,770.6486
798,Hungary,2008,333.531
799,Iceland,2008,0.454
800,India,2008,807.7765
801,Indonesia,2008,758.7876
802,Iran,2008,585.9335
803,Iraq,2008,678.3464
804,Ireland,2008,474.875
805,Isle of Man,2008,
806,Israel,2008,724.428
807,Italy,2008,425.27
808,Jamaica,2008,655.2248
809,Japan,2008,452.872
810,Jordan,2008,597.3471
811,Kazakhstan,2008,451.4575
812,Kenya,2008,334.871
813,Kiribati,2008,
814,Kosovo,2008,1089.1703
815,Kuwait,2008,785.1715
816,Kyrgyzstan,2008,145.8224
817,Laos,2008,
818,Latvia,2008,163.1391
819,Lebanon,2008,722.3361
820,Lesotho,2008,
821,Liberia,2008,
822,Libya,2008,747.9937
823,Liechtenstein,2008,
824,Lithuania,2008,115.2683
825,Luxembourg,2008,308.802
826,Macao,2008,
827,Macedonia,2008,802.4055
828,Madagascar,2008,
829,Malawi,2008,
830,Malaysia,2008,696.7439
831,Maldives,2008,
832,Mali,2008,
833,Malta,2008,857.2807
834,Marshall Islands,2008,
835,Martinique,2008,
836,Mauritania,2008,
837,Mauritius,2008,791.5632
838,Mayotte,2008,
839,Mexico,2008,474.941
840,Micronesia,2008,
841,Moldova,2008,388.5967
842,Monaco,2008,
843,Mongolia,2008,607.7489
844,Montenegro,2008,543.7931
845,Montserrat,2008,
846,Morocco,2008,799.6763
847,Mozambique,2008,0.4005
848,Myanmar,2008,311.2314
849,Namibia,2008,151.1711
850,Nauru,2008,
851,Nepal,2008,2.4328
852,Netherlands,2008,395.498
853,Netherlands Antilles,2008,
854,New Caledonia,2008,
855,New Zealand,2008,217.382
856,Nicaragua,2008,484.8807
857,Niger,2008,550.4963
858,Nigeria,2008,367.9626
859,Niue,2008,
860,Norfolk Island,2008,
861,North Korea,2008,490.5122
862,Northern Mariana Islands,2008,
863,Norway,2008,5.675
864,Oman,2008,664.7619
865,Pakistan,2008,454.2689
866,Palau,2008,
867,Panama,2008,276.2022
868,Papua New Guinea,2008,
869,Paraguay,2008,0.0
870,Peru,2008,241.7409
