,country,year,DCT
660,Sint Maarten,1999,
661,Slovakia,1999,-21.4251403055606
662,Slovenia,1999,-21.7816137068212
663,Solomon Islands,1999,-22.4353391041275
664,Somalia,1999,-21.706711953993
665,South Africa,1999,-21.1308271522239
666,South Korea,1999,-21.5254140370314
667,South Sudan,1999,
668,Spain,1999,-22.1341007383201
669,Sri Lanka,1999,-23.0497907418681
670,State of Palestine,1999,
671,Sudan,1999,-23.3644073177147
672,Suriname,1999,-21.5011220149897
673,Svalbard and Jan Mayen Islands,1999,
674,Swaziland,1999,-22.3465399958947
675,Sweden,1999,-22.4193532289287
676,Switzerland,1999,-22.7747724127406
677,Syria,1999,-21.0019773027184
678,Taiwan,1999,-21.2199283567405
679,Tajikistan,1999,-21.7020981586133
680,Tanzania,1999,-23.6177671816735
681,Thailand,1999,-21.9381129739838
682,Timor-Leste,1999,
683,Togo,1999,-22.2495051829066
684,Tokelau,1999,
685,Tonga,1999,-22.1026080530323
686,Trinidad and Tobago,1999,-21.1388734885477
687,Tunisia,1999,-21.9769287053827
688,Turkey,1999,-22.1287343979735
689,Turkmenistan,1999,-20.2735588974228
690,Turks and Caicos Islands,1999,
691,Tuvalu,1999,-22.1038352767785
692,Uganda,1999,-23.6637261246591
693,Ukraine,1999,-20.4058754871394
694,United Arab Emirates,1999,-21.947062379342
695,United Kingdom,1999,-21.9984867367327
696,United States of America,1999,-21.5436095058443
697,United States Virgin Islands,1999,
698,Uruguay,1999,-22.5826101782364
699,Uzbekistan,1999,-20.0542558832895
700,Vanuatu,1999,-22.4901500634673
701,Venezuela,1999,-21.7558300256206
702,Viet Nam,1999,-22.1520106902609
703,Wallis and Futuna Islands,1999,
704,Western Sahara,1999,
705,Yemen,1999,-22.3163839172526
706,Zambia,1999,-23.200393306289
707,Zimbabwe,1999,-21.4380148064609
708,Afghanistan,2000,
709,Albania,2000,-22.3973235526592
710,Algeria,2000,-22.1181563564658
711,American Samoa,2000,
712,Andorra,2000,
713,Angola,2000,-22.2616264199185
714,Anguilla,2000,
715,Antigua and Barbuda,2000,-22.1946758965751
716,Argentina,2000,-22.0706322914011
717,Armenia,2000,-21.6567420908517
718,Aruba,2000,
719,Australia,2000,-21.4120808301864
720,Austria,2000,-22.3078619901982
721,Azerbaijan,2000,-20.615272292265
722,Bahamas,2000,-22.253323883842
723,Bahrain,2000,-21.3547917177073
724,Bangladesh,2000,-22.9753423865264
725,Barbados,2000,-21.9118191086019
726,Belarus,2000,-21.0433194876507
727,Belgium,2000,-21.9018750776978
728,Belize,2000,-22.1939873443226
729,Benin,2000,-22.7257970510536
730,Bermuda,2000,
731,Bhutan,2000,-22.3579708508997
732,Bolivia,2000,-22.2334436294021
733,Bosnia and Herzegovina,2000,-21.2530352557614
734,Botswana,2000,-22.2194952512523
735,Brazil,2000,-22.5661934924543
736,British Virgin Islands,2000,
737,Brunei Darussalam,2000,-22.5193795554279
738,Bulgaria,2000,-21.2484095762763
739,Burkina Faso,2000,-23.2078695825813
740,Burundi,2000,-23.5891506258253
741,Cambodia,2000,-22.8670024621753
742,Cameroon,2000,-22.4530592637355
743,Canada,2000,-21.505441539515
744,Cape Verde,2000,-22.7669322206294
745,Cayman Islands,2000,
746,Central African Republic,2000,-23.1658759498429
747,Chad,2000,-24.5757943021956
748,Chile,2000,-22.222060220786
749,China,2000,-21.0460423309121
750,Colombia,2000,-22.4476135358498
751,Comoros,2000,-22.7810922815374
752,Cook Islands,2000,
753,Costa Rica,2000,-22.7668674606221
754,Cote d'Ivoire,2000,-22.7238805095646
755,Croatia,2000,-22.065791348398
756,Cuba,2000,-22.2121023580947
757,Curacao,2000,
758,Cyprus,2000,-21.8167109824561
759,Czech Republic,2000,-21.2868761496648
760,Dem. Rep. Congo,2000,-24.0066479230699
761,Denmark,2000,-22.1881989921488
762,Djibouti,2000,-22.2247155056374
763,Dominica,2000,-22.4374221110677
