,country,year,CDA,CHA,FGA,NDA,BCA
3567,Cuba,2011,33.8375231512143,82.3930621280178,80.96354169837142,74.09662509586809,100.0
3569,Cyprus,2011,52.327114218969896,75.5114087784472,84.91826693301199,87.8866568016229,100.0
3570,Czech Republic,2011,68.0047416918657,100.0,72.99233947501159,50.1616295052647,44.5020901288755
3572,Denmark,2011,78.21110189401,99.2238761119339,88.61981148905359,100.0,66.2078087870993
3576,Ecuador,2011,31.076187283449396,57.598395686917705,81.5914191668955,48.7512342798946,40.6133766665085
3577,Egypt,2011,25.2294386939121,39.930421226818,90.6219462152096,36.86366733372989,17.2115668596031
3578,El Salvador,2011,51.71141537837,100.0,86.285599291422,48.1179250686392,100.0
3581,Estonia,2011,51.0114090420364,71.7130619327278,81.58194076570359,56.8011016747717,34.0408847483732
3583,Ethiopia,2011,25.386637871828604,0.0,82.26660623521971,13.499449670299999,42.4122136441059
3587,Finland,2011,69.0412579159627,61.03957689081739,86.45914698006771,76.5354001407742,73.1100418483013
3588,France,2011,67.6245579400271,100.0,89.63554475911529,100.0,92.583340632304
3590,Gabon,2011,56.8449021037142,100.0,82.56780748322251,44.2618002747129,45.787875561311104
3592,Georgia,2011,11.653323383581801,100.0,74.4368955087253,72.3048130932474,40.7163662781716
3593,Germany,2011,68.75012723193001,100.0,89.7514608989384,97.5379182853519,72.7800352743146
3594,Ghana,2011,35.6953516958201,26.864467037260297,100.0,52.7830488395994,82.0754107675963
3595,Greece,2011,60.97700497766271,79.0220946179886,100.0,100.0,100.0
3597,Grenada,2011,40.6989009111225,63.9868182151985,93.94291897301581,30.8294123362813,49.3054893037073
3598,Guatemala,2011,53.899576000455504,23.5175750163409,82.0917859939901,29.3884686718072,5.5416346412773505
3606,Hong Kong,2011,55.5841601365752,79.4794696876082,98.2548029112357,79.9112203896062,100.0
3607,Hungary,2011,69.5648848436994,100.0,89.3925514101511,100.0,26.649378974299502
3608,Iceland,2011,41.983157869854296,76.54045919001659,86.9086506176959,74.2017777031332,100.0
3609,India,2011,19.8670323102032,56.0803733764516,90.03854869062941,23.2817062348856,25.8621314344449
3610,Indonesia,2011,21.7773406266417,30.651597736157605,100.0,37.8269603321589,57.02048464017879
3611,Iran,2011,31.1965214022982,35.6907686834676,100.0,77.299663759879,35.3524799699517
3612,Iraq,2011,44.37242135649771,17.987005434088303,100.0,0.0,85.5968954107136
3613,Ireland,2011,66.7650748508051,100.0,92.65696344070179,100.0,94.9613565527565
3615,Israel,2011,46.463825300638106,18.8019995431376,89.3298439160017,96.09481638860011,59.1177387882825
3616,Italy,2011,63.5434412179704,100.0,89.2895008656905,100.0,77.30244977235151
3617,Jamaica,2011,74.7320452577023,100.0,82.7059303644806,100.0,80.92690846113929
3618,Japan,2011,60.5202569777874,100.0,89.93687582883379,100.0,100.0
3620,Jordan,2011,41.6991695833566,17.2700439011508,78.0360095720559,82.22743700030941,58.044197112552204
3621,Kazakhstan,2011,17.843166196710698,27.7320530794662,67.2419631417831,63.84628982093079,15.8107917330194
3622,Kenya,2011,17.0477810593541,0.0,80.9345103946573,0.0,26.863963071093195
3625,Kuwait,2011,25.388528907916104,84.7171833761511,85.97599667951842,54.0839327494184,0.0
3626,Kyrgyzstan,2011,33.2612839272719,47.6700731480755,81.47571148842479,33.118824142446,0.0
3628,Latvia,2011,50.735785577301904,82.37622194797159,80.1636801903323,48.0917676008051,55.746562480933
3631,Liberia,2011,34.374163887657396,5.97937461826221,75.928435850431,6.10151636746616,33.0013162353059
3632,Libya,2011,54.7634758569483,85.1527335749018,89.8917728610952,24.238242300358895,74.99130613915159
3634,Lithuania,2011,51.970352454761105,100.0,78.099896410402,39.9607319181541,20.4467948828629
3635,Luxembourg,2011,54.1480871813933,81.1500687259971,86.6998216651041,65.1079701796414,49.63118744184379
3637,Madagascar,2011,33.120204021525,47.2982623367354,83.43606267326192,48.140439232853005,42.397490190657294
3639,Malaysia,2011,29.7234210553254,55.9680953984186,89.9887618428219,25.182373575486103,54.9031213887205
3642,Malta,2011,55.530113257961,15.686673047637301,84.6278631687956,100.0,0.0
3644,Mauritania,2011,17.1700096367003,63.2244561821843,74.117139350382,60.67624601942929,32.4046949622523
3645,Mauritius,2011,36.9815454926341,27.401352238646197,80.6851512600367,69.3147138535888,72.5116860068073
3646,Mexico,2011,44.9873969416844,60.4641607528971,78.8176032065555,26.3398934152107,50.0859726873524
3648,Moldova,2011,48.86079840247189,100.0,78.2565071152832,97.4807578437204,49.642313864096
3650,Mongolia,2011,0.0,0.0,53.6683255023288,40.9926827895209,0.0
3651,Montenegro,2011,50.173758218371,90.412101555843,84.36370500589341,100.0,15.3525255374528
3653,Mozambique,2011,21.921420645591997,42.4915966431049,86.4692582565629,53.309435855459,37.237731850379504
3658,Netherlands,2011,60.539164909415,100.0,91.72799640088249,100.0,54.746820616224795
3660,New Zealand,2011,63.399846730500094,84.3260616736206,87.2652587949173,99.97840738861349,72.92367004502171
3663,Nigeria,2011,71.42911777712149,98.9955982249822,83.18846314321681,52.0385410190115,39.04273921634479
